"customerkey","givenname","cohort_year","last_purchase_date","customer_status"
15,"Julian","2021","2021-03-08","churned"
180,"Gabriel","2018","2023-08-28","churned"
185,"Gabrielle","2019","2019-06-01","churned"
243,"Maya","2016","2016-05-19","churned"
387,"Tahlia","2018","2023-11-16","active"
406,"Oliver","2021","2021-11-06","churned"
545,"Jordan","2023","2023-07-01","churned"
649,"Katie","2022","2023-05-22","churned"
668,"Elijah","2019","2019-10-01","churned"
688,"Tahlia","2023","2023-09-13","churned"
864,"Jake","2019","2022-07-09","churned"
957,"Lucy","2018","2022-09-26","churned"
1045,"Liam","2022","2023-03-02","churned"
1092,"Jeremy","2019","2024-02-14","active"
1194,"Cooper","2019","2023-06-21","churned"
1358,"Stella","2023","2023-03-31","churned"
1371,"Tyler","2016","2016-03-15","churned"
1381,"Oscar","2020","2020-02-03","churned"
1509,"Liam","2016","2016-09-06","churned"
1539,"Rachel","2021","2021-06-12","churned"
1583,"Joel","2022","2022-03-03","churned"
1802,"Sebastian","2022","2023-06-17","churned"
1806,"Jorja","2022","2022-08-13","churned"
1807,"Sam","2022","2022-01-24","churned"
2185,"Taj","2021","2021-06-17","churned"
2267,"Makayla","2018","2019-02-19","churned"
2268,"Alex","2023","2023-02-07","churned"
2283,"Emily","2023","2023-02-04","churned"
2439,"Lola","2019","2019-05-28","churned"
2523,"Joel","2018","2020-02-06","churned"
2599,"Brayden","2021","2022-07-04","churned"
2608,"Rose","2022","2022-09-22","churned"
2659,"Timothy","2017","2017-06-19","churned"
2661,"Lachlan","2022","2022-06-29","churned"
2704,"Liam","2018","2018-06-25","churned"
2752,"Charlie","2017","2020-06-13","churned"
2793,"Lucy","2019","2022-10-19","churned"
2833,"Anna","2019","2019-08-28","churned"
2863,"Sofia","2018","2023-11-11","active"
2986,"Eve","2018","2023-09-26","churned"
3008,"Hayley","2023","2023-05-20","churned"
3011,"Andrew","2022","2022-07-21","churned"
3012,"Logan","2016","2016-08-04","churned"
3077,"Christopher","2017","2017-10-18","churned"
3081,"Charli","2021","2022-10-21","churned"
3220,"Skye","2022","2022-12-09","churned"
3325,"Henry","2018","2018-02-06","churned"
3428,"David","2021","2021-07-18","churned"
3436,"Hunter","2018","2018-11-28","churned"
3440,"Dylan","2022","2022-03-12","churned"
3574,"Noah","2022","2022-02-22","churned"
3663,"Darcy","2020","2020-02-24","churned"
3706,"Hudson","2022","2022-10-30","churned"
3832,"Benjamin","2019","2019-05-16","churned"
3901,"Ben","2021","2021-12-18","churned"
3908,"Cooper","2018","2020-01-14","churned"
3923,"Christopher","2022","2023-06-10","churned"
4042,"Bethany","2018","2018-06-30","churned"
4077,"Phoebe","2019","2023-01-28","churned"
4078,"Jasper","2021","2021-09-11","churned"
4193,"Ben","2017","2023-01-19","churned"
4212,"Alexis","2020","2020-10-28","churned"
4302,"Gemma","2018","2018-01-15","churned"
4376,"Brock","2015","2015-07-08","churned"
4403,"Kaitlyn","2015","2015-10-31","churned"
4480,"Poppy","2019","2019-01-12","churned"
4527,"Kiara","2021","2023-08-14","churned"
4609,"Evie","2018","2018-01-06","churned"
4639,"Mikayla","2022","2022-11-03","churned"
4699,"Bethany","2023","2023-06-17","churned"
4712,"Leo","2020","2020-04-29","churned"
4726,"Koby","2018","2023-08-10","churned"
4814,"Eliza","2018","2018-05-28","churned"
4836,"Mitchell","2020","2020-06-23","churned"
4891,"Tahlia","2021","2023-10-07","churned"
4925,"Brock","2015","2022-07-01","churned"
4980,"Victoria","2023","2023-09-21","churned"
5000,"Gabrielle","2019","2019-08-31","churned"
5070,"Angelina","2022","2022-10-15","churned"
5176,"Tyler","2023","2023-03-01","churned"
5216,"Jack","2021","2021-06-03","churned"
5293,"Charli","2022","2022-04-23","churned"
5297,"Mason","2019","2021-07-12","churned"
5308,"Mariam","2023","2023-09-04","churned"
5371,"Caitlyn","2021","2021-09-23","churned"
5394,"Lincoln","2018","2018-12-25","churned"
5397,"Connor","2022","2023-05-06","churned"
5437,"Stephanie","2018","2023-03-01","churned"
5438,"Caitlyn","2018","2018-10-09","churned"
5447,"Scarlett","2023","2023-07-14","churned"
5568,"Elizabeth","2022","2022-02-24","churned"
5685,"Amber","2019","2019-08-28","churned"
5720,"Bailey","2016","2016-11-05","churned"
5729,"Ebony","2015","2015-10-15","churned"
5808,"Samantha","2020","2020-07-04","churned"
5866,"Brianna","2016","2016-08-08","churned"
5905,"Jamie","2018","2018-04-21","churned"
5963,"Gemma","2021","2022-04-21","churned"
6044,"Anthony","2022","2022-06-15","churned"
6048,"Abbey","2015","2024-02-15","active"
6151,"Dakota","2020","2020-09-17","churned"
6168,"Isabella","2022","2022-07-14","churned"
6186,"Flynn","2019","2019-02-20","churned"
6204,"Jayden","2023","2023-03-09","churned"
6231,"Alannah","2018","2018-09-13","churned"
6265,"Madeline","2019","2020-01-08","churned"
6291,"Caitlin","2022","2022-06-22","churned"
6297,"Jackson","2018","2018-12-04","churned"
6301,"Claudia","2022","2022-10-27","churned"
6306,"Connor","2022","2023-12-02","active"
6414,"Jorja","2019","2019-06-05","churned"
6432,"Anthony","2022","2022-05-18","churned"
6455,"Amber","2019","2019-05-03","churned"
6645,"Sara","2021","2022-02-07","churned"
6705,"Jordan","2015","2015-03-13","churned"
6780,"Finn","2019","2019-12-12","churned"
6809,"Gabrielle","2020","2020-01-18","churned"
